title,text,label
Do China's recent military purges spell trouble for Xi Jinping?,"They were trusted and favoured by Xi Jinping. Now, they seem to be vanishing. In recent months, the disappearances of several high-ranking Chinese officials have sparked intense speculation over whether Mr Xi is embarking on a purge, particularly of those linked to the military. The latest person who appears to have fallen from grace is defence minister Li Shangfu, who has not been seen in public for some weeks now. While his absence was not seen as unusual at first, scrutiny intensified when a top US diplomat pointed it out. A Reuters report later said General Li, who used to oversee arms procurement for the People's Liberation Army (PLA), was being investigated over military equipment purchases. His ""disappearance"" comes weeks after two top officials in the Rocket Forces - the military arm that controls nuclear missiles - and a military court judge were removed. Fresh rumours are now circulating that some cadres in the Chinese Communist Party's (CCP) central military commission that controls the armed forces are also being investigated. Little to no official explanation has been given for these removals, apart from ""health reasons"". In this void, speculation has blossomed. The main theory is that authorities are cracking down on corruption in the PLA. The military has been on heightened alert - in July it issued an unusual call-out asking the public for tip-offs on corruption in the past five years. Mr Xi also launched a fresh round of inspections, criss-crossing the country to make five visits to military bases since April, according to checks by BBC Monitoring. Corruption has long been a problem in the military particularly since China began liberalising its economy in the 1970s, noted James Char, a research fellow at Singapore's Nanyang Technological University who studies the relationship between the CCP and the military. Every year China spends more than a trillion yuan on the military with some going towards procurement transactions, which for national security reasons cannot be fully revealed. This lack of transparency is further compounded by China's one-party centralised system. Unlike the kind of public scrutiny other countries' militaries are subjected to, China's armed forces are overseen exclusively by the CCP, pointed out Dr Char. While Mr Xi has had some wins in tempering corruption within the armed forces and restoring its reputation to some extent, ""rooting out corruption is a formidable if not impossible undertaking"" as it would require ""systemic redesigns which I'm afraid the authoritarian state remains averse to"", Dr Char added. ""Until the CCP government is willing to put in place a proper legal system no longer sanctioned by itself, such purges will keep occurring."" ",0
Xi Jinping replaces leaders of China's elite nuclear force,"China replaced two leaders of an elite unit managing its nuclear arsenal, triggering speculation of a purge. General Li Yuchao who headed the People's Liberation Army's (PLA) Rocket Force unit and his deputy had ""disappeared"" for months. Former deputy navy chief Wang Houbin and party central committee member Xu Xisheng were named as replacements. This is the biggest unplanned shake-up in Beijing's military leadership in almost a decade. ""The latest purge is significant [as] China is undertaking one of the most profound changes in nuclear strategy in decades,"" said Lyle Morris, a foreign policy and national security fellow at the Asia Society Policy Institute. ""[President] Xi [Jinping] has consolidated control of the PLA in unprecedented ways, but that doesn't mean it's complete. Xi is still worried about corruption in the ranks and has signalled that absolute loyalty to the [party] has not yet been achieved,"" he said. Mr Xi is also chairman of China's top military command, the Central Military Commission. At a meeting late last month, Mr Xi stressed the need to focus efforts on ""addressing prominent issues faced by party organisations at all levels, in aspects such as maintaining the party's absolute leadership over the military"", Chinese state media reported. Beijing has not commented on the whereabouts of Gen Li and his deputy General Liu Guangbin, but a South China Morning Post report last week suggested that the commission's anti-corruption arm had launched an investigation into the two men, as well as Gen Li's former deputy Zhang Zhenzhong. The report cited two unnamed sources. Mr Wang's and Mr Xu's new appointments came a day before the 96th anniversary of the PLA's founding on 1 August. They were announced at a ceremony at the commission's headquarters in Beijing. Both have been promoted from the rank of lieutenant general to full general which in China marks the highest rank for active service officers. Mr Morris said Gen Li's downfall, together with the recent replacement of former foreign minister Qin Gang, presents one of the biggest leadership challenges for Mr Xi in recent times. Mr Qin had been absent from public commitments for a month before he was replaced by his predecessor Wang Yi last week. No explaination was given for his removal. In 2014, a broad purge among China's military ranks saw former deputy chairs of the Central Military Commission Xu Caihou and Guo Boxiong ousted and prosecuted for corruption. Guo was sentenced to life in jail by a military court, while Xu died before his trial.",0
Bill Gates meets Xi Jinping as US-China tensions simmer,"Microsoft's co-founder Bill Gates met China's President Xi Jinping on Friday as tensions remain high between Washington and Beijing. Mr Xi told Mr Gates that he was ""the first American friend"" he had met in Beijing this year, according to Chinese state media. Mr Gates is the latest high-profile US business leader to visit China since it reopened its borders. This weekend, the US Secretary of State Antony Blinken will also visit China. ""I often say that the foundation of Sino-US relations is among the people, and we always look to the American people and hope that the two peoples will continue to be friendly,"" Mr Xi was reported to have said to Mr Gates. It was Mr Xi's first meeting with a foreign business figure in recent years. He stopped travelling abroad in 2020, when China shut its borders during the pandemic. Mr Xi and Mr Gates are last known to have met in 2015. This year, Tesla's Elon Musk, Jamie Dimon of JP Morgan and Apple's Tim Cook have all travelled to the country. While they held meetings with senior Chinese officials, they did not meet Mr Xi. Mr Gates is in China in his role as the co-chairman of the The Bill and Melinda Gates Foundation, a not-for-profit organisation he started with his former wife. In 2020, Mr Gates stepped down from Microsoft's board to focus on the foundation, which focuses on global health, education and climate change. He had quit his full-time executive role at the technology giant 12 years earlier. Mr Blinken - who is the first US cabinet official to visit China since 2019 - is scheduled to arrive in Beijing this weekend. However expectations are low that any serious headway will be made on the growing list of disputes between the US and China.",0
China tightens Xi Jinping's powers against the West with new law,"China is adding to Xi Jinping's vast powers with a new law that will assert Beijing's interests on the world stage. The law threatens to punish entities that act in ways ""detrimental"" to China's interests but does not specify which lines should not be crossed. Experts say the law underscores China's aggressive diplomacy, but how actively it will be enforced when it takes effect on 1 July remains to be seen. After all, China has been keen to court foreign investment post Covid. Jacques deLisle, a law and political science professor from the University of Pennsylvania, said much of the law is ""relatively empty rhetoric and largely familiar"" but it spells a more assertive foreign policy and stronger pushback against the US. State media outlet The Global Times called the law a ""key step to enrich the legal toolbox against Western hegemony"". Dr Chong Ja-Ian, a non-resident scholar at Carnegie China, said it was a ""signal"" of Beijing's intention to ""actively pursue their interests in ways that include more coercion and pressure, even as they hold out the attraction of cooperation and economic gains"". China's leaders tread an ""inherent tension"" between their pursuit of economic development and protection of national security and interests, said Manoj Kewalramani, who leads the China Studies Programme at Indian think tank the Takshashila Institution. ""This push and pull is likely to continue,"" he said. Relations between Beijing and Washington in particular have been strained in recent years, with the two superpowers exchanging a series of tit-for-tat trade sanctions. Chinese authorities have taken a series of actions against Western firms, including raiding and shuttering the local offices of several US-headquartered consulting firms this year. ",0
Xi Jinping begins historic third term as China's president,"China's leader Xi Jinping has secured a historic third term as president from the country's rubber-stamp parliament. It follows a consolidation of power that has made Mr Xi, 69, China's most dominant leader in generations. In the Chinese system of governance, the functions of the president are largely ceremonial. Mr Xi's power comes from him being General Secretary of the Communist Party and Chairman of the Central Military Commission (CMC). He was handed both posts at a party congress last October. Confirmation of his third term as president had been widely expected. The naming of a new premier and various ministers in the coming days is considered more important. The new appointees are mostly expected to be Xi Jinping loyalists. This includes Li Qiang, who is tipped to serve as Mr Xi's number two. On Friday, Mr Xi has also gained another term as the chairman of the CMC of the People's Republic of China. There are two CMCs in the country - one is a party organisation while another is a state institution - but their make-up is usually the same. Mr Xi has solidified his rule as China reopens from his bruising zero-Covid policy that has fuelled anti-government protests. The country is also facing a falling birth rate that threatens its economic growth engine. Ties between Beijing and Washington remain testy, recently highlighted by allegations China had been spying on the US with balloons. ""Whether a strengthened Xi and increasing centralisation is sufficient to overcome these problems - or perhaps make them worse - is unknown and perhaps not knowable at present,"" Ian Chong, a political scientist at the National University Singapore, told the BBC.""In a sense, Xi is betting that centralisation under the party with him at the helm is a solution to these disparate issues,"" he said. ",0
China's Xi Jinping unanimously elected to serve third term as president,"Chinese President Xi Jinping won an official third five-year term as president Friday, following a vote by the country's mostly ceremonial legislature.The National People's Congress voted 2,952 to 0 to re-elect Xi, who is 69, putting him on track to stay in power for life. Xi's victory was a foregone conclusion as he has sidelined potential rivals and filled the top ranks of the ruling Communist Party with his own supporters since he first rose to power in 2012. Xi named himself to a third five-year term as party general secretary in October, breaking a longstanding Chinese tradition where leaders hand over power after two terms, or once a decade. His two-term limit was previously deleted from the Chinese constitution, leading experts to predict he could choose to stay in power for life. NPC members were not given a list of potential other candidates, so it was assumed Xi ran unopposed. The election process was mostly done in secret. In tandem with the presidency extension, Xi was unanimously named commander of the People's Liberation Army, the formal name for China's military. The Chinese armed forces are unique in that they are led by the ruling political party, rather than its members swearing an oath to defend the country or a constitution. The elections were held as China is facing increasing international pressure to subside its aggression in the East China Sea and its hostilities with Taiwan and Hong Kong, and to call for Russia to end its invasion of Ukraine.",0
"Xi Jinping removed general amid corruption investigation, US officials believe: report","U.S. officials believe that missing Chinese General Li Shangfu has in fact been removed from his post and placed under investigation amid a possible ""corruption purge"" in the People's Liberation Army (PLA). A report in the Financial Times (FT) cited three U.S. officials and ""two people briefed on the intelligence,"" and all have concluded that Chinese President Xi Jinping removed Li from his position, following similar disappearances and reported ousting of two generals in the PLA Rocket Force, which operates China's arsenal of missiles. The investigation into Li relates to the procurement of military equipment and includes eight senior officials from the military's procurement unit, which Li led from 2017 to 2022 prior to his appointment as defense minister. The military's disciplinary inspection commission is leading the probe. ",0
"On Taiwan, Xi Jinping warns against international interference","Xi Jinping's speech on Sunday broke little new ground on the question of Taiwan but struck a sharper tone, warning the world that China, and China alone, would decide how and when to bring about unification. Referring to Taiwan earlier in his speech than he did five years ago a sign of its taking on more importance, analysts said Mr. Xi stressed that China would continue to strive for peaceful reunification, but he also said that China reserved the right to use force and all measures necessary. This is directed solely at interference by outside forces and a few separatists seeking Taiwan independence, he said. Declaring a firm line on Taiwan, Mr. Xi drew one of the speech's longest stretches of applause from delegates in the room. The focus on external forces signaled growing recognition by China that Taiwan has become more of a priority for the United States, as well as for an increasing number of countries around the world. ",0
Banana Peels for Xi Jinping,"Xi has painted himself into a corner, and it will be costly for him to ease up on his hated Covid policy. This is a problem of Xi's own making. He refused to import highly effective mRNA vaccines, and China's effort to vaccinate older people has been anemic. Only 40 percent of Chinese over 80 have received a booster, so a relaxation of Covid rules could lead to Covid-19 killing hundreds of thousands of people. Meanwhile, the current zero-Covid policy has devastated the economy and antagonized the population. It seems unsustainable. Gene Sharp, an American scholar who literally wrote the manual for toppling dictators, used to say that one of the biggest threats to tyrants was humor. Autocrats could survive earnest calls for free expression, but they deflated when they were laughed at. I wonder if that will be the unclothed emperor's challenge ahead, even if he restores the Big Silence. Chinese university students have been singing the national anthem because it includes these words (written before the 1949 Communist revolution): ""Arise, ye who refuse to be slaves. The Chinese nation faces its greatest danger"". It would be awkward to arrest young people for singing the national anthem, but like that blank paper everyone knows what it signifies. That may be intolerable for Xi. You get three or five people together and sing the national anthem, and you ll be arrested, predicted a veteran Chinese journalist who also covered Tiananmen. When police officers show up, protesters have sometimes switched to chanting satirical slogans in favor of the zero-Covid policy, like, We want Covid tests! When Beijing protesters were criticized for being pawns of foreign forces, one didn t miss a beat as he worked the crowd. By foreign forces, he asked, are you referring to Marx and Engels? Chinese netizens these days discuss banana peels (xiang jiao pi) and shrimp moss (xia tai). Why? Because the former has the same initials as Xi Jinping. And shrimp moss sounds like the Chinese for step down. A dictator's dilemma: How do you arrest people for posting about banana peels without adding to the ridicule that undermines your rule?",0
Xi Jinping Calls for China to create 'world-class military' as he targets Taiwan,"Chinese dictator Xi Jinping called for China to create a world-class military as he declared supremacy over Hong Kong and set his sights on Taiwan on Sunday. Xi made the comments during his opening address to the Chinese Community Party Congress in Beijing. Xi spoke before 2,300 CPP delegates who will later vote to grant him an unprecedented third term as China's president and general secretary of the CCP. The leader laid out ambitions for China, declaring a determination to beef up the country's military and take over Taiwan. ",0
